"artist_id","artist_name","embedding","image_url"
837,"Nathaniel Rateliff & The Night Sweats","[0.20946290468176207, -0.2226098341246446, 0.018503233479956787, -0.0941172329088052, -0.11336841310063998, -0.12471059709787369, -0.18941049526135126, -0.07306033962716658, -0.27141132950782776, 0.11305885141094525, -0.10995998575041692, 0.09417588418970506, 0.10659476555883884, 0.335637333492438, 0.018012081428120535, -0.0290451825906833, -0.4270839939514796, -0.2329003314177195, -0.1356739355251193, 0.023600861585388582, 0.13328959754047295, -0.34559166183074314, -0.11433853209018707, -0.090925101035585, 0.04848099872469902, -0.2524851659933726, 0.3044433395067851, 0.2590010017156601, 0.34361933668454486, -0.037707448626557984, 0.17569111784299216, -0.022797095608742286]","https://i.scdn.co/image/3697b05acfc6fbe9f1c9d4ffcc2ebf5b7b4b300d"
202093,"YACHT","[0.14882199466228485, -0.09415049850940704, -0.07454589754343033, 0.005394150037318468, -0.043408799916505814, -0.2172819972038269, -0.17772899568080902, -0.06257420033216476, -0.3044689893722534, 0.05004949867725372, -0.003064479911699891, 0.09614519774913788, 0.08688680082559586, 0.2944659888744354, 0.05551280081272125, -0.05434529855847359, -0.22216199338436127, -0.3615970015525818, -0.146356999874115, -0.05581369996070862, 0.08723410218954086, -0.498416006565094, 0.03610190004110336, 0.02743919938802719, -0.0057434397749602795, -0.1352500021457672, 0.23790200054645538, 0.23411500453948975, 0.422078013420105, 0.040063899010419846, 0.14035700261592865, -0.1139570027589798]","https://i.scdn.co/image/35d4a745a86c72429f986c9c460c724169887a01"
2027,"Ghetts","[0.22322816650072733, -0.18335016692678133, -0.06576598358030121, 0.05180301327103128, 0.007031117721150319, -0.17328566561142603, -0.23575683683156967, -0.032286756516744695, -0.25764116644859314, -0.04806210069606701, -0.16614558299382529, -0.00972387304257912, -0.0243866170446078, 0.278839831550916, 0.10376603156328201, -0.1595043490330378, -0.1992701676984628, -0.3027556637922923, -0.15472094962994257, -0.07445371876625966, 0.017793070214490097, -0.4298889984687169, 0.10203249985352159, 0.10787419974803925, 0.18583516776561737, -0.1997796669602394, 0.2610863347848256, 0.34503600001335144, 0.39800532658894855, -0.06336085094759862, 0.14788561345388493, -0.0569489497380952]","https://i.scdn.co/image/51a1c80064118c06aefc2d9594ff9e15c4db8b44"
620,"Bicep","[0.12393096568328994, -0.11539623460599355, -0.019587557496769086, -0.09202419144899718, 0.08135027886601165, -0.25263257324695587, -0.21349835715123586, -0.011374434788844414, -0.26674578551735195, 0.021959840985281125, -0.09008233447093517, 0.11290946389947619, -0.10764172939317566, 0.29244442603417803, 0.05311840659539614, -0.10075081405895096, -0.1524795847279685, -0.38340042744364056, -0.10692616472286838, 0.01158914646865534, 0.0625135601398402, -0.530480934040887, 0.140327837318182, 0.026537422099084194, 0.061883129279262254, -0.19054021313786507, 0.24629178643226624, 0.24407098282660758, 0.355736857014043, -0.03321743857980307, 0.1989937158567565, -0.06842315649347645]","https://i.scdn.co/image/0ade34a193376a81a121a939ac13e0f53e32a989"
248489,"Oumou Sangaré","[0.1697009950876236, -0.13381600379943848, -0.08695709705352783, -0.13885100185871124, -0.02555529959499836, -0.19248299300670624, -0.004574220161885023, -0.06651060283184052, -0.19910499453544617, 0.1560239940881729, -0.13895300030708313, -0.21955299377441406, -0.013436900451779366, 0.44544699788093567, -0.07150889933109283, -0.053729098290205, -0.3671779930591583, -0.40031498670578003, -0.08744320273399353, -0.17157700657844543, 0.2339709997177124, -0.335657000541687, -0.07067520171403885, 0.10886000096797943, -0.040201399475336075, -0.03481220081448555, 0.18551599979400635, 0.3044529855251312, 0.5281850099563599, -0.040803298354148865, 0.2703329920768738, -0.20045800507068634]",
2312,"Future Of The Left","[0.10466463249176741, -0.17383833825588227, -0.004636888671666384, -0.1437995985150337, -0.12232269873493351, -0.2560161978006363, -0.10698424130678177, -0.013818365707993507, -0.30161020159721375, -0.04175661858171224, -0.047409079223871234, 0.10731362253427505, 0.1576258596032858, 0.20841974318027495, 0.2551871776580811, -0.09485330097377301, -0.2885205984115601, -0.28238060176372526, -0.015706399641931056, -0.03792212582193315, 0.08759710043668748, -0.33585200309753416, -0.09027665760368109, -0.05346137993037701, 0.10236447975039482, -0.2606651961803436, 0.2329174041748047, 0.23384640216827393, 0.47607100009918213, 0.11249014027416707, 0.22820560038089752, -0.059368750127032396]","https://i.scdn.co/image/fb47ffc4551c79f960180bed7fa9db3febfc93e7"
8788,"ZILO","[0.1992030069231987, -0.21041100099682808, 0.06070580240339041, 0.006148909669718705, -0.028397449292242527, -0.17075657285749912, -0.21221599727869034, -0.05735554965212941, -0.28583650290966034, 0.053006675094366074, -0.04800259182229638, 0.03264482505619526, 0.04412562446668744, 0.3783007636666298, 0.07123632659204304, 0.00042059621773660183, -0.1960068973712623, -0.3333822414278984, -0.1627458520233631, -0.03695062501356006, 0.03746885061264038, -0.4672680050134659, 0.022391667473129928, -0.0686487527564168, 0.07990663516102359, -0.10206147655844688, 0.1512681506574154, 0.2824472524225712, 0.42340775579214096, 0.06576362531632185, 0.12466729991137981, -0.027622438996331766]","https://i.scdn.co/image/2b2ed4af44ec5a28a4e4a0e1efaa273b05e04549"
4570,"Seu Jorge","[0.21721850149333477, -0.13067617267370224, -0.2675057500600815, -0.19298000633716583, -0.17967749945819378, 0.10400972096249461, -0.019414227455854416, -0.07437899534124881, -0.18342885375022888, 0.31766100227832794, -0.18403949961066246, -0.06895277462899685, -0.06979492749087512, 0.5061500072479248, 0.07635935209691525, 0.1313872025348246, -0.1805141270160675, -0.7340324968099594, -0.31043000891804695, 0.09987182542681694, 0.49113675206899643, -0.27410300448536873, -0.32397049851715565, 0.3154602460563183, -0.04268210008740425, 0.10750091099180281, 0.05371592566370964, 0.21587849408388138, 0.5489677488803864, 0.07700602477416396, 0.37465400248765945, -0.008854050654917955]","https://i.scdn.co/image/868f39c2a25ad186f3e3778038068fed08ed7a84"
6214,"Etapp Kyle","[0.059479611149678625, -0.1429420014222463, -0.07657839730381966, -0.12186303238073985, 0.045207363087683916, -0.2568310002485911, -0.20225800077120462, -0.028133053022126358, -0.30747267107168835, 0.040200099969903626, -0.02374330364788572, 0.0886137659351031, -0.11944939941167831, 0.3106703261534373, 0.09721700164179008, -0.09271220024675131, -0.1500627671678861, -0.31553200383981067, -0.14371030032634735, 0.0186211330195268, 0.15298199901978174, -0.5247690081596375, 0.18221733470757803, 0.04014583304524422, 0.058426532273491226, -0.23271766304969788, 0.2162283311287562, 0.2188483327627182, 0.3542863329251607, 0.004468167200684547, 0.20248966912428537, -0.15748466551303864]","https://i.scdn.co/image/9b713c2d492d535e9294a0764783964a60e951f2"
6806,"Sister Shotgun","[0.14724631110827127, -0.2603198354028993, -0.16364827565848827, -0.0066613443195819855, -0.31340711646609837, -0.38970766299300724, -0.24296938855614927, -0.1412426788980762, -0.219976045191288, 0.24523740810238653, -0.22766794103922117, 0.21679572264353433, 0.059670510391394295, 0.3114754425154792, 0.2281117420643568, -0.17564994220932326, -0.1903829113062885, -0.49969733423656887, -0.060221054694718786, 0.0335556521701316, -0.18049342930316925, -0.4011875589688619, -0.06795525343881713, -0.014179245258371035, 0.015251333307888772, 0.0014293210373984443, 0.2699390139249671, -0.08107927586469385, 0.37727322346634334, -0.0816784298254384, 0.21154388950930703, -0.0314204256153769]","https://i.scdn.co/image/01081937d4902bb0bee2e15c8416b0c40ce07a64"
